"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"2117","ウェルネオシュガー","東証PR","食料品","20240126","2300","-25","-1.08","2325","2325","2325","2297","2309.5","59100","0.17","136492","80623","1825","2825","20240125","2325","1.08","20230206","1635","40.67"
"2120","LIFULL","東証PR","サービス","20240126","201","6","3.08","195","197","204","195","200.47","1039600","0.77","208406","26982","145","245","20230619","319","36.99","20231225","171","17.54"
"2121","MIXI","東証PR","サービス","20240126","2543","9","0.36","2534","2534","2563","2520","2544.53","251300","0.34","639440","187498","2034","3035","20230516","2966","14.26","20231030","2208","15.17"
"2122","インタースペース","東証ST","サービス","20240126","936","-9","-0.95","945","946","958","936","947.1","8400","0.12","7956","6521","795","1095","20230317","1598","41.43","20230809","885","5.76"
"2124","ジェイエイシーリクルートメント","東証PR","サービス","20240126","674","-4","-0.59","678","678","684","673","676.86","209000","0.13","141464","111586","578","778","20230801","710","5.07","20230601","549","22.77"
"2127","日本M＆Aセンターホールディングス","東証PR","サービス","20240126","755.2","-25.7","-3.29","780.9","776.6","779.3","755.2","765.25","5065300","1.5","3876221","254453","630.9","930.9","20230124","1787","57.74","20231114","627","20.45"
"2130","メンバーズ","東証PR","サービス","20240126","998","-3","-0.3","1001","1000","1010","986","1001.02","39900","0.3","39941","13395","701","1301","20230112","2022","50.64","20231225","878","13.67"
"2134","燦キャピタルマネージメント","東証ST","サービス","20240126","18","0","0","18","18","19","17","17.99","826200","0.58","14863","2548","1","48","20230619","41","56.1","20230501","8","125"
"2136","ヒップ","東証ST","サービス","20240126","1140","-5","-0.44","1145","1145","1146","1140","1144.83","4600","0.12","5266","4532","845","1445","20230705","1230","7.32","20230104","748","52.41"
"2138","クルーズ","東証ST","情報通信","20240126","710","-4","-0.56","714","710","723","709","715.3","136900","1.06","97925","9200","564","864","20230515","1390","48.92","20240117","705","0.71"
"2139","中広","東証ST","サービス","20240126","417","0","0","417","418","419","415","417.64","6400","0.09","2673","2937","337","497","20230927","455","8.35","20230130","369","13.01"
"2146","UTグループ","東証PR","サービス","20240126","2381","-39","-1.61","2420","2403","2455","2379","2409.86","255100","0.65","614755","93681","1920","2920","20230621","3205","25.71","20231031","1818","30.97"
"2148","アイティメディア","東証PR","サービス","20240126","1058","7","0.67","1051","1053","1076","1049","1063.48","39900","0.19","42433","22088","751","1351","20230104","1633","35.21","20231213","877","20.64"
"2150","ケアネット","東証PR","サービス","20240126","821","-3","-0.36","824","835","835","819","826.25","267600","0.57","221104","38482","674","974","20230215","1276","35.66","20231117","668","22.9"
"2152","幼児活動研究会","東証ST","サービス","20240126","1232","-3","-0.24","1235","1233","1233","1230","1232.23","3100","0.03","3820","14518","935","1535","20230613","1486","17.09","20230314","1131","8.93"
"2153","E・Jホールディングス","東証PR","サービス","20240126","1725","-8","-0.46","1733","1737","1747","1720","1731.87","34800","0.22","60269","27736","1333","2133","20230928","1819","5.17","20230117","1276","35.19"
"2154","オープンアップグループ","東証PR","サービス","20240126","2233","9","0.4","2224","2220","2243","2200","2229.71","154000","0.17","343375","204537","1724","2724","20231227","2361","5.42","20230110","1623","37.58"
"2156","セーラー広告","東証ST","サービス","20240126","302","-2","-0.66","304","303","304","302","303.17","3000","0.05","910","1836","224","384","20230510","374","19.25","20230104","278","8.63"
"2157","コシダカホールディングス","東証PR","サービス","20240126","1001","6","0.6","995","993","1007","984","998.29","454800","0.55","454022","82382","845","1145","20230904","1415","29.26","20230118","803","24.66"
"2158","FRONTEO","東証GR","サービス","20240126","650","9","1.4","641","649","661","641","651.73","471900","1.2","307551","25581","541","741","20230126","942","31","20231031","549","18.4"
"2160","ジーエヌアイグループ","東証GR","医薬品","20240126","2719","7","0.26","2712","2721","2779","2680","2731.05","1269500","2.55","3467067","135562","2212","3215","20231130","3555","23.52","20230428","998","172.44"
"2162","nmsホールディングス","東証ST","サービス","20240126","365","-7","-1.88","372","370","372","365","368.54","62900","0.29","23181","7888","292","452","20230508","610","40.16","20230117","238","53.36"
"2163","アルトナー","東証PR","サービス","20240126","2270","-37","-1.6","2307","2307","2322","2267","2291.51","106200","1","243359","24125","1807","2807","20240110","2441","7.01","20230130","983","130.93"
"2164","地域新聞社","東証GR","サービス","20240126","374","2","0.54","372","373","375","371","372.75","6000","0.28","2237","808","292","452","20231201","462","19.05","20230622","338","10.65"
"2168","パソナグループ","東証PR","サービス","20240126","2739","39","1.44","2700","2702","2750","2683","2728.4","222800","0.53","607888","114190","2200","3200","20231211","3030","9.6","20231024","1298","111.02"
"2169","CDS","東証ST","サービス","20240126","1700","-5","-0.29","1705","1705","1707","1698","1702.89","9300","0.13","15837","11771","1305","2105","20230331","1888","9.96","20230822","1650","3.03"
"2170","リンクアンドモチベーション","東証PR","サービス","20240126","566","-3","-0.53","569","570","576","562","569.5","289600","0.26","164927","63996","469","669","20230201","673","15.9","20231024","365","55.07"
